Project Name,Subtype,Current Status,Capacity MW,Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,,
Binh Dinh Nha may nhiet dien Binh Đinh,Coal,Cancelled,1200,2016,Thailand,Electricity Generating Authority of Thailand - EGAT International Thailand,,,, ,Vietnam,Binh Đinh,Qui Nhon,,
Binh Dinh 2 Nha may nhiet dien Binh Đinh 2,Coal,Cancelled,1200,2016,Thailand,Electricity Generating Authority of Thailand - EGAT International Thailand,,,, ,Vietnam,Binh Đinh,Qui Nhon,,
Binh Nguyen Đien mat troi Binh Nguyen,Solar,Operational,50,2019,Thailand; Vietnam,Tap doan Truong Thanh Viet Nam, Vietnam, Tap doan Sermsang Thailand,,,, ,Vietnam,,
Bio-Mass Power Co, Ltd.,Biomass,Unknown,5,,Thailand,Bio-Mass Power Co, Ltd.,,,, ,Thailand,,
Biogas from Ethanol Wastewater,Waste,Unknown,1.24,2013,Thailand,Bio Natural Energy Co, Ltd.,,,Japan,EX Corporation,Thailand,Si Sa Ket,,
Biogas from Wastewarer Management by Palm Power Green Co Ltd.,Waste,Unknown,3.3,,Thailand,Palm Power Green Co Ltd. AS.T. Palm Oil Co Ltd.,,,, ,Thailand,Prachuap Khiri Khan,Bang Saphan Noi,,
Biogas production from waste water of tapioca starch plant,Waste,Unknown,6.24,,Thailand,Thai Nam Tapioca Co Ltd.,,,, ,Thailand,Udon Thani,Muang Udon Thani,,
Biomass based Power Project,Biomass,Unknown,9.8,2012,Thailand; Germany,Evergreen Plus Co Ltd.; RWE Power Aktiengesellschaft,,,, ,Thailand,Lop Buri,Phatthana Nikhom,,
Biomass Power Project of Gia Lai Cane Sugar and Thermoelectricity Joint,,,,,,,,,,,,,,,
Stock Company Nha may nhiet dien Ayun Pa,Biomass,Operational,12,2013,Vietnam,Gia Lai Cane Sugar and Thermoelectricity Joint Stock Company SEC, Investment and Trade Consultancy Company Limited ITRACO,Sweden; Finland,NeCF; funded by a consortium of European agencies; led by the Nordic Environment Finance Corporation NEFCO - a PPP,, ,Vietnam,Gia Lai,,
Bionersis Project Thailand 1,Waste,Unknown,2,,Thailand,Bionersis  Ltd.,France,Bionersis S.A,, ,Thailand,Nakhon Pathom,Kamphaeng Saen,,
BLCP Power Ltd Rayong Banpu Gas Power Ltd,Coal,Unknown,673.25,2006,,,,,, ,Thailand,Rayong,Muang Rayong,,
Blue Dot Wind Power Project,Wind,Planned,80,,Singapore,The Blue Circle Pte Ltd,,,,,Cambodia,Kampot,Tuek Chhou,,
Blue Fire Bio Wastewater Treatment,Waste,Unknown,3.128,,Thailand,Blue Fire Bio Co, Ltd.,,,Switzerland,South Pole Carbon Asset Management Ltd.,Thailand,Nakhon Ratchasima,,
BMT Solar Farm du an trang trai dien mat troi BMT,Solar,Operational,30,2020,South Korea,Solar Park Global, Long Thanh Infrastructure Development and Investment Company Cong ty co phan dau tu va phat trien ha tang Long Thanh,,,, ,Vietnam,Đak Lak,,
Bo Nok Power Plant,Gas,Unknown,734,,Thailand; USA,Gulf Power Generation Co Ltd Thailand; Gulf Electric Co Ltd. Thailand; Edison Mission Energy USA,,,, ,Thailand,Prachuap Khiri Khan,Muang Prachuap Khiri Khan,,
Bo Phloi Power Plant,Biomass,Operational,9.9,2017,Thailand,Advance Clean Power Co, Ltd.,,,, ,Thailand,Kanchanaburi,,
Bokor Plateau,Hydro,Planned,28,,,,,,, ,Cambodia,Kampot,Tuek Chhou,,
Botum Sakor Coal Plant,Coal,Planned,700,2024,Cambodia,Royal Group,,,China,Sinosteel Engineering & Technology,Cambodia,Koh Kong,Botum Sakor,,
Bourbon,Oil,Operational,24,,,,,,, ,Vietnam,Long An,Can Đuoc,,
BP Solar 1 Đien mat troi BP Solar 1,Solar,Operational,46,2019,,,,,, ,Vietnam,Ninh Thuan,Ninh Phuoc,,
Bu Ca Mau,Hydro,Operational,4,2009,Vietnam,Cat Nam Trading - Services and Production Company, Limited,,,, ,Vietnam,Binh Phuoc,,
Buanlung,Hydro,Planned,30,,China,PowerChina International China,,,, ,Myanmar,Chin,Palam,,
Buasommai I biomass power plant,Biomass,Unknown,9.9,2013,Thailand; Switzerland,Buasommai Electricity Generating Co, Ltd., Quality Carbon Assets AG,,,, ,Thailand,,
Buasommai II biomass power plant,Biomass,Unknown,9.9,2013,Thailand; Switzerland,Buasommai Electricity Generating Co, Ltd., Quality Carbon Assets AG,,,, ,Thailand,,
Bukit Asam,Coal,Cancelled,200,,Indonesia,PT Bukit Asam Indonesia,,,, ,Myanmar,Shan,Kengtung,,
Buon Tuasrah,Hydro,Operational,86,2009,Vietnam,EVN Vietnam,,,, ,Vietnam,Đak Nong,Krong No,,
Buri Ram 1 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Bureerum 1 Company Limited Solar Power Co Ltd,,,, ,Thailand,Buri Ram,Nong Ki,,
Buri Ram 2 Solar Power Plant,Solar,Operational,7.4,2013,Thailand,Solar Power Bureerum 2Company Limited Solar Power Co Ltd,,,, ,Thailand,Buri Ram,Nong Ki,,
Buri Ram 3 Solar Power Plant,Solar,Operational,7.4,2014,Thailand,Solar Power Bureerum 3 Company Limited Solar Power Co Ltd,,,, ,Thailand,Buri Ram,Prakhon Chai,,
Buriram Biomass Power Plant,Biomass,Unknown,9.9,2015,Thailand,Buriram Energy Co, Ltd. Subsidiary of Buriram Sugar Public Co, Ltd.,,,, ,Thailand,,
Buriram Cogeneration Plant,Biomass,Unknown,9.9,2012,Thailand,Buriram Energy Co, Ltd. Subsidiary of Buriram Sugar Public Co, Ltd.,,,, ,Thailand,,
Buriram Power Plus Company,Biomass,Unknown,9.9,2015,Thailand,Buriram Power Plus Co, Ltd.,,,, ,Thailand,Buri Ram,,
Buriram Sugar Factory,Biomass,Unknown,18.5,,Thailand,Buriram Sugar Factory Co, Ltd. Subsidiary of Buriram Sugar Public Co, Ltd.,,,, ,Thailand,,
Buon Kuop,Hydro,Operational,280,2011,Vietnam,EVN Vietnam,,,Vietnam,Vinanico,Vietnam,Đak Nong,Krong No,,
C on Top PV Solar Farm Project,Solar,Operational,12,,Thailand,C on Top Co, Ltd.,,,, ,Thailand,Chon Buri,,
Ca Du,Hydro,Operational,2.6,2005,Vietnam,Ca Du Hydro Power Constructing JSC,,,, ,Vietnam,Quang Ngai,Tra Bong,,
Ca Mau Nha may dien mat troi Ca Mau 63 ha,Solar,Operational,50,2019,Vietnam,Cty Long Hung Vietnam,,,, ,Vietnam,Ca Mau,Ngoc Hien,,
Ca Mau 1,Gas,Operational,750,2008,Vietnam,Ca Mau Petrovietnam Power Company,,,Vietnam,Lilama Vietnam,Vietnam,Ca Mau,U Minh,,
Ca Mau 2,Gas,Operational,750,2008,Vietnam,Ca Mau Petrovietnam Power Company,,,Vietnam,Lilama Vietnam,Vietnam,Ca Mau,U Minh,,
Ca Na LNG,Gas,Planned,6000,2025,Thailand,Gulf Energy Development Group,,,,,Vietnam,Ninh Thuan,Thuan Nam,,
Cai Lan,Oil,Operational,39,,,,,,, ,Vietnam,Quang Ninh,Ha Long,,
Cam An Bac Nha may dien mat troi xa Cam An Bac,Solar,Planned,35,2019,Vietnam,Cam Lam Solar Cty CP Cam Lam Solar,,,, ,Vietnam,Khanh Hoa,Cam Lam,,
Cam An Bac Nha may dien mat troi xa Cam An Bac,Solar,Planned,50,2019,Vietnam,Cam Lam Solar Cty CP Cam Lam Solar,,,, ,Vietnam,Khanh Hoa,Cam Lam,,
Cam Hoa Đien mat troi Cam Hoa,Solar,Operational,50,2019,Vietnam,Cong ty CP Tap doan Hoanh Son Ha Tinh,,,Germany; Spain,Equipment: Cong ty Eab New Energy Germany cung cap thiet bi va Cong ty TNHH Tu van dien Solakey Spain,Vietnam,Ha Tinh,Cam Xuyen,,
Cam Hung Đien mat troi Cam Hung,Solar,Planned,29,2020,,,,,, ,Vietnam,Ha Tinh,Cam Xuyen,,
